lvl,  time, xp/t, xp
('1', 10.0, 100, 1000)
('2', 13.88, 108, 1500)
('3', 19.29, 116.64, 2250)
('4', 26.79, 125.97, 3375)
('5', 37.21, 136.035, 5062)
('6', 51.68, 146.91, 7593)
('7', 71.78, 158.678, 11390)
('8', 99.69, 171.37, 17085)
('9', 138.46, 185.086, 25628)
('10', 192.31, 199.89, 38443)
('11', 267.1, 215.89, 57665)
('12', 370.97, 233.16, 86497)
('13', 515.24, 251.81, 129746)
('14', 715.6, 271.96, 194619)
('15', 993.9,  293.719, 291929)
('16', 1380.42, 317.21, 437893)
('17', 1917.25, 342.59, 656840)
('18', 2662.85, 370.00, 985261)
('19', 3698.4, 399.60, 1477891)
('20', 5136.68, 431.569, 2216837)
